Name,Dates as aCategory 5,Duration(hours),Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD)
"""Cuba""","October 19, 1924",12,165 mph (270 km/h),910 hPa (26.87 inHg),"Central America, Mexico, CubaFlorida, The Bahamas",90,
"""San Felipe IIOkeechobee""","September 13–14, 1928",12,160 mph (260 km/h),929 hPa (27.43 inHg),"Lesser Antilles, The BahamasUnited States East Coast, Atlantic Canada",4000,$100 million
"""Bahamas""","September 5–6, 1932",24,160 mph (260 km/h),921 hPa (27.20 inHg),"The Bahamas, Northeastern United States",16,
"""Cuba""","November 5–8, 1932",78,175 mph (280 km/h),915 hPa (27.02 inHg),"Lesser Antilles, Jamaica, Cayman IslandsCuba, The Bahamas, Bermuda",3103,$40 million
"""Cuba–Brownsville""","August 30, 1933",12,160 mph (260 km/h),930 hPa (27.46 inHg),"The Bahamas, Cuba, FloridaTexas, Tamaulipas",179,$27.9 million
"""Tampico""","September 21, 1933",12,160 mph (260 km/h),929 hPa (27.43 inHg),"Jamaica, Yucatán Peninsula",184,$5 million
"""Labor Day""","September 3, 1935",18,185 mph (295 km/h),892 hPa (26.34 inHg),"The Bahamas, Florida, Georgia, The Carolinas, Virginia",408,
"""New England""","September 19–20, 1938",18,160 mph (260 km/h),940 hPa (27.76 inHg),"Southeastern United States, Northeastern United States, Southwestern Quebec",682,$306 million
Carol,"September 3, 1953",12,160 mph (260 km/h),929 hPa (27.43 inHg),"Bermuda, New England, Atlantic Canada",5,$2 million
Janet,"September 27–28, 1955",18,175 mph (280 km/h),914 hPa (26.99 inHg),"Lesser Antilles, Central America",1023,$65.8 million
Carla,"September 11, 1961",18,175 mph (280 km/h),931 hPa (27.49 inHg),"Texas, Louisiana, Midwestern United States",43,$326 million
Hattie,"October 30–31, 1961",18,160 mph (260 km/h),920 hPa (27.17 inHg),Central America,319,$60.3 million
Beulah,"September 20, 1967",18,160 mph (260 km/h),923 hPa (27.26 inHg),"The Caribbean, Mexico, Texas",688,$208 million
Camille,"August 16–18, 1969 †",30,175 mph (280 km/h),900 hPa (26.58 inHg),"Cuba, United States Gulf Coast",259,$1.42 billion
Edith,"September 9, 1971",6,160 mph (260 km/h),943 hPa (27.85 inHg),"The Caribbean, Central America, Mexico, United States Gulf Coast",37,$25.4 million
Anita,"September 2, 1977",12,175 mph (280 km/h),926 hPa (27.34 inHg),Mexico,11,Extensive
David,"August 30–31, 1979",42,175 mph (280 km/h),924 hPa (27.29 inHg),"The Caribbean, United States East coast",2068,$1.54 billion
Allen,"August 5–9, 1980 †",72,190 mph (305 km/h),899 hPa (26.55 inHg),"The Caribbean, Yucatán Peninsula, Mexico, South Texas",269,$1.24 billion
Gilbert,"September 13–14, 1988",24,185 mph (295 km/h),888 hPa (26.22 inHg),"Jamaica, Venezuela, Central America, Hispaniola, Mexico",318,$7.1 billion
Hugo,"September 15, 1989",6,160 mph (260 km/h),918 hPa (27.11 inHg),"The Caribbean, United States East Coast",107,$10 billion
Andrew,"August 23–24, 1992 †",16,175 mph (280 km/h),922 hPa (27.23 inHg),"The Bahamas, Florida, United States Gulf Coast",65,$26.5 billion
Mitch,"October 26–28, 1998",42,180 mph (285 km/h),905 hPa (26.72 inHg),"Central America, Yucatán Peninsula, South Florida",19325,$6.2 billion
Isabel,"September 11–14, 2003 †",42,165 mph (270 km/h),915 hPa (27.02 inHg),"Greater Antilles, Bahamas, Eastern United States, Ontario",51,$5.37 billion
Ivan,"September 9–14, 2004 †",60,165 mph (270 km/h),910 hPa (26.87 inHg),"The Caribbean, Venezuela, United States Gulf Coast",124,$23.3 billion
Emily,"July 16, 2005",6,160 mph (260 km/h),929 hPa (27.43 inHg),"Windward Islands, Jamaica, Mexico, Texas",17,$1.01 billion
Katrina,"August 28–29, 2005",18,175 mph (280 km/h),902 hPa (26.64 inHg),"Bahamas, United States Gulf Coast",1836,$125 billion
Rita,"September 21–22, 2005",24,180 mph (285 km/h),895 hPa (26.43 inHg),"Cuba, United States Gulf Coast",125,$12 billion
Wilma,"October 19, 2005",18,185 mph (295 km/h),882 hPa (26.05 inHg),"Greater Antilles, Central America, Florida",87,$29.4 billion
Dean,"August 18–21, 2007 †",24,175 mph (280 km/h),905 hPa (26.72 inHg),"The Caribbean, Central America",45,$1.76 billion
Felix,"September 3–4, 2007 †",24,175 mph (280 km/h),929 hPa (27.43 inHg),"Nicaragua, Honduras",133,$720 million
Matthew,"October 1, 2016",12,165 mph (270 km/h),934 hPa (27.58 inHg),"Antilles, Venezuela, ColombiaUnited States East Coast, Atlantic Canada",603,$15.1 billion
Irma,"September 5–9, 2017 †",72,180 mph (285 km/h),914 hPa (26.99 inHg),"Cape Verde, The Caribbean, British Virgin IslandsU.S. Virgin Islands, Cuba, Florida",138,>$64.8 billion
Maria,"September 18–20, 2017 †",30,175 mph (280 km/h),908 hPa (26.81 inHg),"Lesser Antilles, Virgin Islands, Puerto Rico, Dominican Republic, Turks and Caicos Islands",3057,>$91.6 billion